pull,timestamp,windows,risk_mean,risks,attack_ratio
44,21:08:30,235,0.492,0.54;0.48;0.48;0.48;0.48,0.2297872340425532
45,21:09:23,285,0.504,0.50;0.52;0.48;0.52;0.50,0.20350877192982456
46,21:10:11,531,0.12,0.12;0.12;0.12;0.12;0.12,0.005649717514124294
47,21:10:57,248,0.552,0.56;0.64;0.52;0.52;0.52,0.2217741935483871
48,21:11:34,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
49,21:12:11,5,0.636,0.72;0.68;0.54;0.60;0.64,0.6
50,21:12:48,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
51,21:13:25,4,0.892,0.92;0.94;0.92;0.92;0.76,0.75
52,21:14:09,51,0.536,0.60;0.52;0.48;0.54;0.54,0.2549019607843137
53,21:14:52,10,0.992,1.00;0.98;1.00;0.98;1.00,0.9
54,21:15:29,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
55,21:16:13,10,0.992,1.00;0.98;1.00;0.98;1.00,0.9
56,21:16:50,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
57,21:17:27,6,0.608,0.68;0.62;0.50;0.60;0.64,0.6666666666666666
58,21:18:04,4,0.8800000000000001,0.92;0.92;0.92;0.92;0.72,0.75
59,21:18:51,431,0.084,0.10;0.06;0.10;0.06;0.10,0.0069605568445475635
60,21:19:28,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
61,21:20:20,263,0.552,0.58;0.52;0.60;0.56;0.50,0.22433460076045628
62,21:21:12,240,0.552,0.56;0.58;0.54;0.54;0.54,0.24583333333333332
63,21:22:02,21,0.476,0.42;0.50;0.54;0.44;0.48,0.6666666666666666
64,21:22:39,3,0.0,0.00;0.00;0.00;0.00;0.00,1.0
65,21:23:32,322,0.044,0.06;0.02;0.06;0.02;0.06,0.021739130434782608
66,21:24:18,246,0.532,0.58;0.52;0.50;0.54;0.52,0.22764227642276422
67,21:24:55,5,0.6359999999999999,0.72;0.62;0.54;0.60;0.70,0.6
68,21:25:32,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
69,21:26:19,543,0.172,0.18;0.12;0.18;0.20;0.18,0.0055248618784530384
70,21:27:12,250,0.488,0.36;0.48;0.52;0.60;0.48,0.236
71,21:27:59,324,0.02,0.02;0.02;0.02;0.02;0.02,0.009259259259259259
72,21:28:53,537,0.11599999999999999,0.12;0.10;0.12;0.12;0.12,0.01303538175046555
73,21:29:47,542,0.136,0.16;0.10;0.16;0.10;0.16,0.012915129151291513
74,21:30:40,329,0.56,0.64;0.60;0.52;0.48;0.56,0.17933130699088146
75,21:31:17,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
76,21:31:54,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
77,21:32:31,6,0.652,0.72;0.66;0.64;0.60;0.64,0.6666666666666666
78,21:33:08,4,0.9,0.94;0.94;0.94;0.94;0.74,0.75
79,21:33:56,533,0.1,0.10;0.10;0.10;0.10;0.10,0.005628517823639775
80,21:34:42,321,0.168,0.14;0.18;0.14;0.18;0.20,0.009345794392523364
81,21:35:20,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
82,21:35:57,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
83,21:36:40,10,0.992,1.00;0.98;1.00;0.98;1.00,0.9
84,21:37:33,278,0.692,0.70;0.76;0.72;0.64;0.64,0.21223021582733814
85,21:38:10,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
86,21:38:47,4,0.8640000000000001,0.90;0.90;0.90;0.90;0.72,0.75
87,21:39:42,553,0.16799999999999998,0.18;0.12;0.18;0.18;0.18,0.012658227848101266
